Iter,Mode,PE_X,PE_Y,SRAM,EDP,TR_Length,Latency,Energy,Area_mm2
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
3,baseline,5,21,165037,1000000000000000.0,1.0,0,0,0.0
4,atomic,16,7,145276,1000000000000000.0,1.0,0,0,0.0
5,baseline,7,12,64884,1000000000000000.0,1.0,0,0,0.0
6,atomic,8,11,19720,1000000000000000.0,1.0,0,0,0.0
7,baseline,5,21,234948,1000000000000000.0,1.0,0,0,0.0
8,atomic,15,12,89589,1000000000000000.0,1.0,0,0,0.0
9,baseline,2,15,161901,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
3,baseline,5,21,165037,1000000000000000.0,1.0,0,0,0.0
4,atomic,16,7,145276,1000000000000000.0,1.0,0,0,0.0
5,baseline,7,12,64884,1000000000000000.0,1.0,0,0,0.0
6,atomic,8,11,19720,1000000000000000.0,1.0,0,0,0.0
7,baseline,5,21,234948,1000000000000000.0,1.0,0,0,0.0
8,atomic,15,12,89589,1000000000000000.0,1.0,0,0,0.0
9,baseline,2,15,161901,1000000000000000.0,1.0,0,0,0.0
10,atomic,11,9,206560,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
3,baseline,5,21,165037,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
3,baseline,5,21,165037,1000000000000000.0,1.0,0,0,0.0
4,atomic,16,7,145276,1000000000000000.0,1.0,0,0,0.0
5,baseline,7,12,64884,1000000000000000.0,1.0,0,0,0.0
6,atomic,8,11,19720,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
3,baseline,5,21,165037,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
3,baseline,5,21,165037,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,1000000000000000.0,1.0,0,0,0.0
2,atomic,2,19,133397,1000000000000000.0,1.0,0,0,0.0
1,baseline,21,30,111886,2.85592530714624e+17,1.0,57802752,4940812000.0,0.0
2,atomic,2,19,133397,2.85592530714624e+17,1.0,57802752,4940812000.0,0.0
3,baseline,5,21,165037,2.85592530714624e+17,1.0,57802752,4940812000.0,0.0
4,atomic,16,7,145276,2.85592530714624e+17,1.0,57802752,4940812000.0,0.0
5,baseline,7,12,64884,2.85592530714624e+17,1.0,57802752,4940812000.0,0.0
