Iter,Mode,Cycles,DRAM_Acc,SRAM_Acc,NoC_Lat,NoC_Pwr
1,baseline,1376256,294912,16515072,15.6931,592.221997017416
1,atomic,928256,298368,133668864,15.9833,1360.8211123853205
2,baseline,57802752,294912,924844032,17.0,22.65654412580525
2,atomic,3211264,294912,462422016,17.0,408.9678474525733
3,baseline,115605504,294912,924844032,16.0048,10.660514434836251
3,atomic,1605632,294912,115605504,15.8894,753.7598858016644
4,baseline,0,0,0,0,0
4,atomic,727552,300672,104767488,15.8626,1429.2919451135358
5,baseline,0,0,0,0,0
5,atomic,501760,299520,72253440,27.2009,2578.168328980152
6,baseline,1376256,294912,16515072,17.0,383.50297849746244
6,atomic,2157568,297216,310689792,17.0,447.2229675356227
7,baseline,0,0,0,0,0
7,atomic,3211264,294912,294912,0.0,0.0
8,baseline,57802752,294912,924844032,17.0,16.81242368928255
8,atomic,2157568,297216,310689792,17.0,447.3055850553405
9,baseline,0,0,0,0,0
9,atomic,1605632,294912,231211008,17.0,502.0170225673216
10,baseline,0,0,0,0,0
10,atomic,1078784,297216,155344896,15.7677,1274.8060057911757
11,baseline,0,0,0,0,0
11,atomic,928256,298368,133668864,15.6931,1363.0713968868024
12,baseline,0,0,0,0,0
12,atomic,928256,298368,133668864,15.6931,1368.4630106774703
13,baseline,0,0,0,0,0
13,atomic,0,0,0,0,0
14,baseline,0,0,0,0,0
14,atomic,2408448,589824,16515072,0.0,0.0
15,baseline,0,0,0,0,0
15,atomic,1605632,294912,231211008,17.0,501.37210791194775
16,baseline,0,0,0,0,0
16,atomic,3211264,294912,294912,0.0,0.0
17,baseline,1376256,294912,16515072,17.0,468.13672490567757
17,atomic,3211264,294912,462422016,17.0,408.8742193753725
18,baseline,57802752,294912,924844032,17.0,14.14342089141592
18,atomic,1605632,294912,231211008,17.0,501.9338131223932
19,baseline,0,0,0,0,0
19,atomic,3211264,294912,462422016,17.0,408.9188680917892
20,baseline,57802752,294912,924844032,16.0336,22.523027132501213
20,atomic,928256,298368,133668864,15.6931,1366.8681275247102
21,baseline,0,0,0,0,0
21,atomic,3211264,294912,294912,0.0,0.0
22,baseline,0,0,0,0,0
22,atomic,0,0,0,0,0
23,baseline,57802752,294912,924844032,17.0,14.136426785843382
23,atomic,1605632,294912,231211008,17.0,501.66620914924744
24,baseline,0,0,0,0,0
24,atomic,2157568,297216,310689792,17.0,447.4921334841121
25,baseline,0,0,0,0,0
25,atomic,3211264,294912,294912,0.0,0.0
26,baseline,1376256,294912,16515072,17.0,383.4770020491333
26,atomic,2157568,297216,310689792,17.0,447.2287162837208
27,baseline,0,0,0,0,0
27,atomic,3211264,294912,462422016,17.0,408.82300416426307
28,baseline,1376256,294912,16515072,17.0,468.1195023963996
28,atomic,3211264,294912,462422016,17.0,408.7020215507505
29,baseline,1376256,294912,16515072,17.0,340.49009171139284
29,atomic,1605632,294912,231211008,17.0,502.27723753954433
30,baseline,57802752,294912,924844032,17.0,22.656632989498846
30,atomic,3211264,294912,462422016,17.0,408.93530055137046
31,baseline,1376256,294912,16515072,17.0,468.09614528020165
31,atomic,3211264,294912,462422016,17.0,408.8817599073762
32,baseline,57802752,294912,924844032,16.0885,26.868589599454474
32,atomic,1304576,299520,187858944,16.0904,1169.458589267315
33,baseline,1376256,294912,16515072,17.0,468.2608594108388
33,atomic,3211264,294912,462422016,17.0,408.910980178521
34,baseline,57802752,294912,924844032,15.9315,26.90232601485414
34,atomic,1304576,299520,187858944,16.0904,1169.2280599380708
35,baseline,1376256,294912,16515072,17.0,468.17266821707904
35,atomic,3211264,294912,462422016,17.0,408.8483775814351
36,baseline,1376256,294912,16515072,17.0,340.49077099181386
36,atomic,1605632,294912,231211008,17.0,502.4005507308909
37,baseline,0,0,0,0,0
37,atomic,3211264,294912,294912,0.0,0.0
38,baseline,1376256,294912,16515072,17.0,383.60283423596064
38,atomic,2157568,297216,310689792,17.0,447.1109151175109
39,baseline,1376256,294912,16515072,17.0,383.6312973173557
39,atomic,2157568,297216,310689792,17.0,447.243571969928
40,baseline,57802752,294912,924844032,17.0,16.810521947576103
40,atomic,2157568,297216,310689792,17.0,447.33705865932006
41,baseline,57802752,294912,924844032,17.0,16.831019003836445
41,atomic,2157568,297216,310689792,17.0,447.8589404518814
42,baseline,1376256,294912,16515072,17.0,383.5052719608774
42,atomic,2157568,297216,310689792,17.0,447.5539510685172
43,baseline,0,0,0,0,0
43,atomic,3211264,294912,294912,0.0,0.0
44,baseline,0,0,0,0,0
44,atomic,1304576,299520,187858944,16.0885,1165.8901963126548
45,baseline,0,0,0,0,0
45,atomic,0,0,0,0,0
46,baseline,1376256,294912,16515072,17.0,383.49668485710816
46,atomic,1078784,297216,310689792,17.0,784.1779530555394
47,baseline,1376256,294912,16515072,17.0,383.6128548512738
47,atomic,2157568,297216,310689792,17.0,447.245931537624
48,baseline,0,0,0,0,0
48,atomic,3211264,294912,462422016,17.0,408.94353907633086
49,baseline,0,0,0,0,0
49,atomic,3211264,294912,294912,0.0,0.0
50,baseline,0,0,0,0,0
50,atomic,3211264,294912,462422016,17.0,408.9307732982786
