Iter,Nodes,PE,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,7,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.04,0.0%
2,2,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
3,12,19,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.22,0.0%
4,14,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.72,0.0%
5,11,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.23,0.0%
6,2,32,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
7,3,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
8,5,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.31,0.0%
9,6,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
10,8,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
11,9,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.72,0.0%
12,12,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
13,6,22,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.31,0.0%
14,2,32,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.31,0.0%
15,14,22,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
16,2,20,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
17,6,28,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
18,9,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
19,5,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.33,0.0%
20,9,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
21,3,28,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
22,8,23,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
23,6,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.33,0.0%
24,4,17,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.34,0.0%
25,3,19,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.51,0.0%
26,8,30,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.62,0.0%
27,5,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
28,5,30,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.92,0.0%
29,9,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
30,4,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
31,4,29,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.04,0.0%
32,9,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.06,0.0%
33,4,29,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
34,8,18,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
35,5,29,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
36,13,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.12,0.0%
37,3,29,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
38,7,28,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
39,7,30,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.52,0.0%
40,5,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
41,5,29,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.34,0.0%
42,4,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
43,2,23,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.31,0.0%
44,9,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
45,4,20,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
46,10,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
47,8,28,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
48,6,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.41,0.0%
49,4,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.41,0.0%
50,4,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.52,0.0%
